,Unnamed: 0,title,ref_txt,kw_list
0,301268,Супрамолекулярные системы на основе полиэтилениминов и окта-2-гидроксиэтилированных каликс_(4_)резорцинов. Агрегация и каталитическая активность,"Методами тензиометрии и динамического рассеяния света изучена агрегация окта-2-гидроксиэтилированных каликс_(4_)резорцинов (КР) с различной длиной алкильного радикала (R=Et, н-C[5]H[11], н-C[11]H[23]), гидрофобно-модифицированного полиэтиленимина (ПТЭИ) и смешанных систем на их основе в воде и водно-органических растворителях при различных температурах. Определены критические концентрации агрегации (ККА) и размеры агрегатов. Установлено, что температура оказывает существенное влияние на поверхностно-активные и агрегационные свойства КР. Методом спектрофотометрии исследован гидролиз-4-нитрофенил-O-бутилхлорметилфосфоната в присутствии КР, ГПЭИ и их смешанных композиций. Параметры этой реакции (константа скорости в мицеллярной фазе, константа связывания субстрата с агрегатами и ККА) свидетельствуют о том, что наибольшей каталитической активностью обладает система ГПЭИ в присутствии КР с ундецильными радикалами",агрегация\каликсрезорцины\каталитические свойства\полиэтиленимины\супрамолекулярные системы
1,209251,Рейтинговые оценки зарубежных авиакосмических компаний с использованием матриц стандартизированных коэффициентов и показателей Уоррена Баффета,Рассмотрена возможность применения матричного подхода к анализу и оценке деятельности авиакосмических предприятий на основе составления матрицы стандартизованных коэффициентов и дальнейшего определения рейтинга предприятия,Россия\авиакосмическая отрасль\авиастроение\деятельность компаний\рейтинг\эффективность
2,278388,Применение модифицированного связующего для изготовления низкотоксичных древесностружечных плит,Рассмотрены свойства и режимы прессования древесностружечных плит на модифицированном связующем на основе фенолоформальдегидных и карбамидоформальдегидных смол  определен состав связующего  режим прессования и класс эмиссии,и карбамидоформальдегидные как основа модифицированное модифицированные низкотоксичные плиты древесностружечные прессование применение производство режим связующие связующие вещества смолы феноло формальдегидные строительные материалы
3,301787,Зависимость состава и обилия видов растений от типа почвообразующей породы и механического состава почв в сосняках средней и северной тайги Европейской России,По данным полевых исследований 1996 2010 гг  в различных регионах средней и северной тайги Европейской России оценена зависимость проективного покрытия видов растений в сосновых лесах от типа почвообразующей породы  силикатной либо карбонатной сульфатной  и от механического состава почв  для чего проведено группирование сообществ по указанным критериям  а затем попарное сравнение групповых средних с использованием t критерия Стьюдента,леса сосновые лесные почвы растительность лесная состав насаждений структура экология
4,255697,Российский и международный опыт реализации программ универсального аудиологического скрининга новорожденных,Проблема выявления врожденной тугоухости не теряет свою актуальность в связи с возможностями ранней реабилитации  Внедрение программ универсального аудиологического скрининга новорожденных в России и многих странах позволило значительно снизить сроки подтверждения врожденной тугоухости и начала реабилитационных мероприятий  Рассматривается зарубежный опыт на примере Англии  США  Германии  Польши  Приводятся основные индикаторы качества и эффективности программ аудиологического скрининга новорожденных  Рассмотрены данные эпидемиологических исследований по распространенности врожденной тугоухости  В России в 2013 г  были обследованы 1 8 млн новорожденных  на 1 м этапе скрининга охвачены 96 7   не прошли 1 й этап скрининга 2 9  обследованных  Выявлены 5659 детей с врожденной тугоухостью  распространенность составила 3 на 1000 новорожденных  из них глухота выявлена в 0 6 на 1000 случаев  Основной организационной проблемой как в России  так и в других странах следует считать направление детей по результатам скрининга на полное диагностическое обследование  Для успешной реализации необходим персональный учет данных с применением единых медицинских информационных систем ,аудиологический скрининг врожденная тугоухость новорожденные
5,281269,К проблеме разрушения многослойных композитных материалов,Предполагается  что биупругие слои в композите жестко сцеплены между собой вдоль плоскостей y  h 1   Центральный слой  y  h 1    x    содержит трещину продольного сдвига y 0   x  l  параллельную плоскостях y  h 1  и y  h 2  h 2  h 1    На поверхностях полосы y  h 2  смещения равны нулю  К берегам трещины приложены по величине и противоположно направленные напряжения  Методы  разработанные в статье  позволили построить решение этой задачи  Определен коэффициент интенсивности напряжений L 111  и для соответствующий анализ,интенсивности напряжений коэффициент композиционные материалы математическая модель разрушение слои биупругие
6,255036,Суперфитнес для ЖАТ,"В рамках проектирования ВСМ Москва_-Казань ведется разработка новой системы ж.-д. автоматики и телемеханики. Для развития высокоскоростного движения заключен меморандум о сотрудничестве между ОАО ""РЖД"", компанией ""Сименс АГ"" и НПЦ ""Инфотранс"". Основная задача___- обеспечить интеграцию модернизированной под высокие скорости платформы Velaro RUS с обновленной линейкой систем российского производства. На этой основе намечено усовершенствовать диагностический комплекс для железнодорожной инфраструктуры. В Европе высокоскоростными поездами управляет ERTMS. Подобную систему намерены внедрять и в России___- в комплексе со спутниковой навигационной системой ГЛОНАСС, автоматической локомотивной сигнализацией нового поколения (АЛС-400) и соответствующей микропроцессорной сигнализацией. В Японии для обеспечения движения на ВСМ используют даже более продвинутые технологии с точки зрения цифровизации, чем в Европе. В Японии применяется гораздо больше датчиков, чем в ЕС. Скорость срабатывания систем ЖАТ очень высокая. В настоящее время в Японии проходят испытания высокоскоростные поезда, в кабинах которых уже нет окна переднего обзора: машинист следит за всем на экране монитора, куда выводятся данные с камер наблюдения",автомашинисты\высокоскоростное движение\проекты\системы\цифровизация
7,121002,Теорема Харди---Литтлвуда для пространств Бергмана,"Изучаются положительные весовые функции $_ёomega (z)$ на единичном круге $_ёBD$ такие, что$$_ёint_ёlimits_{_ёBD}|f(z)|^p_ёomega (z)dA(z)<_ёinfty$$тогда и только тогда, когда$$_ёint_ёlimits_{_ёBD}(1-|z|^2)^p|f^_ёprime(z)|^p_ёomega (z)dA(z)<_ёinfty,$$где $f$~--- аналитическая функция на $_ёBD$ и $dA$~--- мера площади на $_ёBD$. Получены некоторые условия на $_ёomega$, из которых следует эта эквивалентность. Они применяются к некоторым важным классам весов, известным ранее",теорема Харди---Литтлвуда\пространства Бергмана\субгармонические функции\супергармонические функции
8,7859,Роль низкочастотной трансорбитальной магнитной стимуляции в нормализации внутриглазного давления у больных с первичной открытоугольной глаукомой,"Низкочастотная магнитотерапия приводит к усилению гипотензивного эффекта антиглаукомных средств и позволяет быстрее добиться компенсации ВГД до получения ""давления цели"" у пациентов с некомпенсированной открытоугольной глаукомой. Отмечена зависимость эффективности снижения ВГД от биотропных параметров магнитного поля. Прерывистый режим с высоким амплитудным значением магнитной индукции обладает более выраженным эффектом и позволяет быстрее добиться снижения ВГД",внутриглазное давление\гипотензивные препараты\глаукома\открытоугольная глаукома\трансорбитальная магнитная стимуляция
9,52114,Локальные аттракторы уравнения Кана---Хиллиарда,"Рассматривается уравнение Кана---Хиллиарда вместе с тремя типами краевых условий. Во всех краевых задачах изучен вопрос о существовании, устойчивости и асимптотическом представлении пространственно неоднородных состояний равновесия. Использован метод качественной теории бесконечномерных динамических систем",уравнение Кана---Хиллиарда\Москва\бесконечномерная динамическая система\бифуркации\устойчивость
10,314843,Оценка необходимости модификации асинхронных двигателей и аспекты их управления при работе с преобразователями частоты,"Рассмотрена проблема снижения надежности асинхронных электроприводов, в которых питание электродвигателей с короткозамкнутым ротором осуществляется от преобразователей частоты. Приведен анализ причин, приводящих к выходу из строя асинхронных двигателей при работе от преобразователей частоты. На основании проведенного исследования определены требования к конструктивному исполнению электропривода, к изоляции проводов и способам управления двигателем, повышающие надежность работы. Рекомендовано использовать в этих приводах частотно-регулируемые асинхронные двигатели, активная часть которых спроектирована для работы с преобразователями частоты с учетом режима работы, типа нагрузки и требуемого диапазона регулирования.",асинхронный электропривод\надежность работы\преобразователи частоты\частотно-регулируемые асинхронные двигатели
11,218089,Видовая структура комплекса микромицетов чернозема в прикорневой зоне растений подсластителей,В вариантах опыта выделено 34 вида микромицетов  являющихся представителями 20 родов  7 семейств и 3 классов  Для каждой растительной ассоциации характерен специфичный соств микроскопических грибов   виды доминирующие  часто и редко встречающиеся   случайные   В почве под различными растениями продуцентами подсластителей наблюдали разнонаправленные нарушения видового состава микромицетов чернозема  По всей видимости  вторичные метаболиты растений заметно меняют структуру микробного сообщества почвы,биоразнообразие корневая зона почвенные грибы растения подсластители чернозем выщелоченный
12,1406,Генезис трещин в огнеупорах,Обобщены результаты многолетних исследований трещин  возникающих в огнеупорных изделиях во время производства  первичные  и в процессе эксплуатации  вторичные   На основании системного анализа разработана классификация трещин по происхождению  генезису   В основу генетической классификации положены следующие главные критерии  температура зарождения трещины  причины образования этого дефекта структуры  физико химический механизм развития микро  и макротрещиноватости  В группу  холодных  трещин отнесены  механогенные  кристаллизационные  в водосодержащих бетонах   гидратационные  сушильные  перепресовочные  криогенные и биогенные  Образование этих трещин обусловлено как внутренними напряжениями вследствие положительного или отрицательного изменения объема и особенно часто внешними механическими нагрузками  механогенные трещины при дроблении и измельчении твердых минеральных сырьевых материалов  перепрессовочные двумерные дефекты и др  ,генезис огнеупоры трещины эксплуатация
13,204203,Региональные промышленные кластеры России и Казахстана: опыт формирования и развития,"В условиях современного экономического развития все большее число стран широко применяет кластерную политику, так как именно она служит важнейшим элементом экономики, позволяющим повышать конкурентоспособность региона, а также его промышленных предприятий. Роль экономических кластеров с каждым годом растет. Это связано с уже существующими позитивными результатами применения кластерного подхода в различных сферах деятельности человека",Казахстан\Россия\правовое регулирование\промышленность\стратегическое управление
14,353031,Спорт для пациентов с трансплантированными органами,"Представлен анализ состояния проблемы, а также мирового и российского опыта участия реципиентов донорских органов в занятиях спортом и физической культурой. Отражена роль влияния физической активности на качество жизни пациентов после трансплантации. Отмечены трудности, связанные с органным донорством в России и за рубежом, и значимость спортивных мероприятий в содействии данной проблеме. Проанализирован зарубежный опыт по проведению спортивных игр для лиц с трансплантированными органами, который указывает на важность дополнительных методов исследования при допуске к занятиям физической культурой и спортом у реципиентов, необходимость дозирования при подборе режима физической нагрузки, привлечение врача-трансплантолога для индивидуализации программ реабилитации. Представлен личный опыт зарубежных спортсменов с трансплантированными органами, в том числе опыт участия российского реципиента в 21-х Всемирных играх 2017 года. Также приводится опыт проведения спортивных мероприятий для людей с трансплантированными органами в России.",внутренние органы\реципиенты донорских органов\спортивная медицина\трансплантация\участие в соревнованиях
15,106760,Исследование адгезионных и физико механических свойств эпоксидных нанокомпозитов  наполненных фуллереном С 60 ,Используя известные методы исследований адгезионных и физико механических свойств  определено оптимальное содержание фуллерена С 60  для формирования эпоксидных нанокомпозитов с повышенными характеристиками  Полученные результаты исследований позволяют использовать разработанный материал как поверхностный слой для защитного покрытия ,адгезионные свойства механические свойства нанокомпозиты наполнители физические свойства фуллерены эпоксиды
16,332891,Синтез и свойства углеводных производных гетероциклических соединений,Углеводсодержащие гетероциклы   обширная и глубоко разветвленная область химии и биохимии углеводов  в которой важнейшую часть составляют производные сахаров с гетероциклическими агликонами  Большие успехи достигнуты при использовании производных гликозилизо тио цианатов  Теоретическая основа выполненной работы заключается в анализе литературных источников по данной проблеме  разработке методов синтеза  установлению структуры синтезированных веществ  В экспериментальной части работы  касающейся производных моносахаридов  было установлено  что гликопиранозил тио мочевины легко вступают в реакции нуклеофильного замещения при взаимодействии с малоосновными аминами  Были произведены расчеты прогнозирования биологической активности новых соединений с помощью программы PASS  которая позволяет утверждать  что полученные вещества можно рассматривать как потенциальные биологически активные соединения,биологическая активность биологически активные вещества гликопиранозил  изотиоцианаты морфолин синтез
17,1210,Возможности и проблемы современной аналитической химии неорганических материалов,Охарактеризовано состояние аналитической химии неорганических материалов  Оценивается роль таких аналитических методов  как атомно эмиссионный анализ с различными источниками возбуждения и способами детектирования  атомно абсорбционный анализ с различными источниками атомизации  масс спектральный анализ с различными источниками ионизации  рентгенофлуоресцентный анализ с волновой и энергетической дисперсией  методы высокотемпературной экстракции для определения газообразующих примесей  комбинированные методы с использованием химического разделения и концентрирования  показаны их возможности и перспективы,анализ атомно эмиссионная  атомно абсорбционная высокотемпературная масс спектрометрия неорганические материалы рентгенофлуоресцентный анализ с волновой и энергетической дисперсией спектроскопия оптическая экстракция элементный анализ
18,269188,Анализ возможностей Oracle Spatial для формирования пространственных баз данных,"В статье рассмотрены основные операторы Oracle Spatial, которые необходимо использовать при создании пространственной базы данных, а также приведены список и примеры использования операторов",Oracle\SGL\СУБД
19,213681,"Синтез тетразолов, триазолов и имидазолинов, катализируемый магнитными сферами окиси кремния, нанесенными на кислоту.","Магнитно разделяемые катализаторы используют в синтезе N-содержащих гетероциклов, включая тетразолы, триазолы и имидазолины. Магнитная сфера окиси кремния, нанесенная на сульфоновую кислоту (MSS-SO[3]H), является подходящей для синтеза 1,2,3-триазола через циклоприсоединение нитроалкена с NaN[3], в то время как цинк-модифицированная сфера окиси кремниевого катализатора (MSS-SO[3]Zn) является более подходящей для синтеза тетразолов. MSS-SO[3]Zn катализатор также работает хорошо для синтеза 2-замещенного имидазолина через конденсацию нитрилов с этилендиамином. Оба MSS-SO[3]H и MSS-SO[3]Zn катализаторы могут быть леко регенерированы магнитом и использованы повторно без утомительной активации.",MSS-SO[3]H\имидазолины\катализаторы\конденсация химическая\кремний диоксид\магнитные материалы\привитая\синтез\сульфоновая кислота\сферы\тетразолы\триазолы\циклоприсоединение
20,297898,Оптимизация микроструктуры и механических свойств инструментальной стали CrWMn проведением глубокой криогенной обработки,"По сравнению с термической обработкой по режиму закалка и отпуск проведение после закалки глубокой криогенной обработки с последующим отпуском повышает прочность, вязкость и твердость инструментальной стали CrWMn. Это связывают с высокой плотностью выделений ультрамелких гранулированных карбидов (МГК), превращением остаточного аустенита и измельчением мартенсита. Два вида остаточного аустенита (пленочный и блочный) превращаются при пониженной температуре или в процессе отпуска. Кривые, построенные по результатам исследований после отпуска, показывают, что часть МГК выделяется при глубокой криогенной обработке, которая так же повышает износостойкость и понижает коэффициент трения. Повышенную износостойкость исследуемой стали связывают с повышением твердости, пониженным коэффициентом трения и выделением МГК","износостойкость\инструментальные стали\механические свойства\микроструктура\сталь\сталь инструментальная, закалка, криогенная обработка, прочность, вязкость, твердость, коррозионная стойкость, трение, износ\термообработка"
21,250152,Перекрестное бизнес-гуманитарное сотрудничество в управляемой гуманитарной логистике,"Целью исследования является разработка типологической схемы бизнес-гуманитарного сотрудничества для управляемой гуманитарной логистики и эмпирическая проверка этой схемы с использованием анализа содержания с набором данных. Результаты исследования показали, что количественно сотрудничество между бизнес-сектором и гуманитарным сектором в управляемой гуманитарной логистике ограничено и не имеет широкого распространения. Финансовые пожертвования составляют основную часть ресурсов и поставляются бизнес-сектором, когда он входит в партнерство с гуманитарным сектором с фокусированием внимания на управляемой гуманитарной логистике",бизнес-гуманитарное сотрудничество\гуманитарная\логистика\экономические вопросы
